"","voyage_id","ship_name","port_origin","place_of_purchase","port_arrival","year_arrival","n_slaves_arrived","captains_name","state"
"802",92347,"Doddington","Liverpool","Gold Coast, port unspecified","York River",1735,167,"Copland, James","Virginia"
"803",92348,"Liverpool Merchant","Liverpool","Gambia","South Potomac",1734,156,"Goulding, Matthew","Maryland"
"804",92349,"Thomas","Liverpool","Gambia","York River",1734,100,"Smith, Henry","Virginia"
"805",92350,"Liverpool Merchant","Liverpool","Gambia","York River",1732,160,"Goulding, Matthew","Virginia"
"806",92351,"Rose","Liverpool","Africa., port unspecified","Rappahannock",1727,125,"Christian, James","Virginia"
"807",92352,"John and Betty","Liverpool","Africa., port unspecified","Rappahannock",1727,140,"Denton, William","Virginia"
"808",92353,"Content","Liverpool","Gold Coast, port unspecified","Rappahannock",1726,145,"Morton, John","Virginia"
"809",92354,"John and Betty","Liverpool","Calabar","Rappahannock",1726,90,"Denton, William","Virginia"
"810",92355,"Imploy","Liverpool","Africa., port unspecified","Rappahannock",1719,94,"Cooper, John","Virginia"
"811",92356,"Bootle","Liverpool","Sierra Leone estuary","York River",1718,84,"Bootle, Robert","Virginia"
"812",92357,"Imploye","Liverpool","Gambia","Rappahannock",1718,65,"Cowper, John","Virginia"
"813",92358,"Pineapple","Liverpool","West Central Africa and St. Helena, port unspecified","Charleston",1737,250,"Hallow, David","South Carolina"
"814",92400,"Vine","Liverpool","Africa., port unspecified","Virginia, port unspecified",1733,120,"Gregson, Richard","Virginia"
"815",92402,"Willoughby","Liverpool","Africa., port unspecified","Virginia, port unspecified",1735,188,"Heysham, Richard","Virginia"
"816",92406,"Pineapple","Liverpool","Africa., port unspecified","Charleston",1735,338,"Hallow, David","South Carolina"
"817",92505,"Planter","Liverpool","Gold Coast, port unspecified","York River",1746,226,"Foulkes, Thomas","Virginia"
"818",92506,"Gildart","Liverpool","Gambia","Rappahannock",1746,250,"Holme, Richard","Virginia"
"819",92724,"Daniel",NA,"Africa., port unspecified","Savannah",1774,83,"Jarvis, Henry","Georgia"
"820",94636,"Alice","Liverpool","Gambia","Rappahannock",1737,124,"Cutler, Egerton","Virginia"
"821",94736,"Gambia Merchant","Liverpool","Gambia","Rappahannock",1740,139,"Cutler, Egerton","Virginia"
"822",94738,"Dove","Liverpool","Africa., port unspecified","Upper James River",1740,62,"Lee, John<br/> Corrin, William","Virginia"
"823",94744,"Cape Coast","Liverpool","Africa., port unspecified","South Potomac",1741,130,"Smith, William","Maryland"
"824",94846,"Three Sisters","Liverpool","Cape Coast Castle","York River",1717,109,"Hughes, John","Virginia"
"825",98832,"Jacinta",NA,"Bonny","Puerto Rico, port unspecified",1818,100,NA,"Puerto Rico"
"826",99027,"Concepción",NA,"Cape Verde Islands","Puerto Rico, port unspecified",1527,46,"Díaz, Alonso","Puerto Rico"
"827",83071,"Perseverance","Liverpool","Congo River","Charleston",1805,330,"Good, James<br/> Warren, Benjamin","South Carolina"
"828",83157,"Port Mary","London","Congo River","Charleston",1806,360,"Purcell, Joseph<br/> Berry","South Carolina"
"829",83158,"Port Mary",NA,"Congo River","Charleston",1807,380,"Bowes, J","South Carolina"
"830",83210,"Prince William","Liverpool","Gold Coast, port unspecified","Charleston",1805,370,"Giles, James","South Carolina"
"831",83319,"Resource","Liverpool","Congo River","Charleston",1805,251,"Moffitt, Thomas","South Carolina"
"832",83347,"Robert","Liverpool","Senegambia or Sierra Leone","Charleston",1806,241,"Mullion, Thomas<br/> Green, William","South Carolina"
"833",83432,"Ruby","London","Congo River","Charleston",1807,350,"Shaw, Alexander<br/> Caruth","South Carolina"
"834",83439,"Ruby","London","Congo River","Charleston",1804,391,"Shaw, Alexander<br/> Keer","South Carolina"
"835",83440,"Ruby","London","Congo River","Charleston",1806,350,"Shaw, A","South Carolina"
"836",83527,"Sarah","Liverpool","Loango","New Orleans",1804,219,"Kennedy, Henry","Unknown"
"837",83564,"Sisters","Liverpool","Gambia","Charleston",1785,280,"Wise, Diederick","South Carolina"
"838",83636,"Success","London","Gold Coast, port unspecified","Charleston",1784,263,"Conner, Scott<br/> Connor, John","South Carolina"
"839",90772,"Upton","Liverpool","Gambia","Annapolis",1759,205,"Birch, Thomas","Maryland"
"840",90783,"Hare","Liverpool","Banana Islands","Rappahannock",1761,258,"Colley, George","Virginia"
"841",90787,"Hannah","Liverpool","Windward Coast, port unspecified","North Carolina, port unspecified",1759,258,"Prescot, Edward","North Carolina"
"842",90789,"Hannah","Liverpool","West Central Africa and St. Helena, port unspecified","Annapolis",1763,315,"Prescott, Edward","Maryland"
"843",90790,"Hannah","Liverpool","West Central Africa and St. Helena, port unspecified","Charleston",1765,297,"Prescot, Edward","South Carolina"
"844",90799,"Juba","Liverpool","Iles de Los","Upper James River",1760,225,"Tallon, John","Virginia"
"845",90812,"Pearl","Liverpool","Loango","Charleston",1760,362,"Pollard, Thomas","South Carolina"
"846",90818,"Essex","Liverpool","Bassa","Charleston",1765,190,"Seaman, William","South Carolina"
"847",90822,"Dove","Liverpool","Senegambia and offshore Atlantic, port unspecified","Rappahannock",1761,140,"Williams, Hugh","Virginia"
"848",90824,"Nestor","Liverpool","Anomabu","Charleston",1760,208,"Maddock, John","South Carolina"
"849",90835,"Carolina","Liverpool","Windward Coast, port unspecified","Charleston",1760,190,"Kennedy, John","South Carolina"
"850",90856,"Peggy","Liverpool","Iles de Los","Rappahannock",1761,147,"Davies, Cuthbert","Virginia"
"851",90873,"Eadith","Liverpool","Bassa","York River",1761,154,"Jordan, Thomas","Virginia"
"852",90880,"Bassa","Liverpool","Windward Coast, port unspecified","Rappahannock",1761,170,"Lowe, William","Virginia"
"853",90888,"William and Edward","Liverpool","Windward Coast, port unspecified","Rappahannock",1761,117,"Foster, William","Virginia"
"854",90890,"James","Liverpool","Iles de Los","Charleston",1761,150,"Howell, Henry","South Carolina"
"855",90920,"Nanny","Liverpool","Saint-Louis","Upper James River",1761,110,"McDougal, James","Virginia"
"856",90921,"Nanny","Liverpool","Saint-Louis","Virginia, port unspecified",1762,103,"McDougal, James","Virginia"
"857",90942,"Sea Horse","Liverpool","Cape Mount (Cape Grand Mount)","Charleston",1763,130,"Glover, Elias","South Carolina"
"858",90946,"Lancashire Witch","Liverpool","Windward Coast, port unspecified","Rappahannock",1762,186,"Ross, Henry","Virginia"
"859",90949,"Panther","Liverpool","Gold Coast, port unspecified","Rappahannock",1762,106,"Davis, Thomas<br/> Kempstead, Benjamin","Virginia"
"860",90960,"Marquis of Granby","Liverpool","Windward Coast, port unspecified","Puerto Rico, port unspecified",1761,124,"Brown, Thomas","Puerto Rico"
